document_id clean_text  ,,,sentiment
Title,Review,,Sentiment
Deluded,"Delusions of grandure and self important tripe. Its a disgrace to all real footballers who went before him. Its a disgrace to humans that work 9 to 5 for a fraction of what this guy earns in a week. Avoid, don't feed his over inflated ego.",,Negative
Self obsessed sob story,"Worst documentary I've ever watched. Que the sad music, play acting in front of the camera, dabbing, add some family sadness (but I'll get that recorded instead of privacy). Agent compares himself to Jesus, and we all know what a piece of work he was. ""Manchester will always be special to me"" and then slates the club and that ""nothing"" offer of 300k per week.

His agent, christ milking it even more what a hard life he lives.

Thank god for Manchester United the drama is over. Juventus have that problem now.",,Negative
This guy is deluded and drinking his own sauce wayyy too much,"""Wherever he goes, he's shining...like a walking star hahahahhaahahahaha what drugs have these lot been taking, I want some! He's a walking clown who's been overpaid and suffers delusions of grandeur as we see throughout the series. He was let go by Sir Alex Ferguson who knew he was rotten to the core. I used to argue that Mourinho should've tried to inspire him but his arrogance is over inflated what the teams he has played in have achieve (note the words I used, they are not achievements as a result of Paul Pogba being in those teams), so Jose would never have been able to get anything out of him, just like OGS and Rangnick. He's an embarrassment to people of colour, he makes us look lazy, he lack the ability to take his responsibility seriously, as a POC, as a man, as a supposed leader and as a footballer who was paid vast sums of money to walk around. You could argue it is the French in him and he needs to feel the love but Cantona was similar except he earnt the love and adoration every single time he stepped on the pitch. Even when he was sent off, he brought a sense of pride to it but this clown shows how low a human being can go pointing the finger at everyone else...it's always everyone else and never himself.

If anyone in normal job trying to survive performed the way he does and has as you see, the way he behaves, the serious lack of focus and dedication to changing his and the teams fortune...you wouldn't last more than 3-6 months but this guy says he deserved a pay rise... This documentary is the worst case of gaslighting we will experience courtesy of Paul Pogba and the awful Amazon team who already have a shoddy reputation that is worse off by making this.",,Negative
Hhahahahahahahaha!!!!!!,"What an awful documentary by a jumped up narcissist ?300.000 is nothing apparently, if this was a comedy I'd have given it a 10 but unfortunately he genuinely thinks he's world class, the mind boggles!!",,Negative
Don't understand Amazon's motive,"How can a documentary be this bad, totally unexpected from a platform like Amazon. Really poorly structured and a total waste of time. Clear avoid for anyone who hasn't watched this .",,Negative
Absolute legend,"Brilliant. How, just how do you possibly average 1.0/10 from (as of writing) 6000 reviews. This is insane.

By being Paul Pogba is the answer to that question! How a human can be so out of touch with it's fellow humans is incredible. Madness. He has over 55milion followers, how has he possibly managed to alienate almost literally EVERYONE who watched this mess? How has he made something SO bad, even his millions of followers haven't watched and mustered up even the few not 1.0 reviews to save it from being the worst rated steaming pile of dog turd ever created?

I am in awe of this man and this documentary and how bad it is.",,Negative
Utter self-serving drivel,"An egotistical, self-important cry baby- that would be a much better title for this absolute nonsense. Pogba represents the worst excesses of the modern footballer; all style and no substance. He's the only one who believes his own hype. Give this a miss.",,Negative
Pogone!,"The virus and the leaker of the dressing room finally gone, digging his own grave with this documentary. You'd love to see it.

You can see that both Sir Alex Ferguson and Jose Mourinho were right about the player. Most of United fans including myself has been a supporter of him, even against Mourinho but thank to this documentary, we proved wrong.

This documentary opened our eyes that, maybe, if not absolutely, after all, the manager is always right about their players.",,Negative
If I could give 0 rating I woukd,Shocking turned off after 5 mins as constantly chatting ?? all about himself. Don't care about anyone else. Me !! Me !! Me !! Saying how a hazing he thinks he is. Why don't he get real pundits so they can tell the truth about him ??,,Negative
